age_grp5,ethgrp2,prob_pulmonary,point_age
"[15,20)",All_other_eths,0.604542807,17
"[20,25)",All_other_eths,0.538757207,23
"[25,30)",All_other_eths,0.450384615,27
"[30,35)",All_other_eths,0.391304348,33
"[35,40)",All_other_eths,0.381192421,37
"[40,45)",All_other_eths,0.389731051,43
"[45,50)",All_other_eths,0.390508685,47
"[50,55)",All_other_eths,0.398002305,53
"[55,60)",All_other_eths,0.387216304,57
"[60,65)",All_other_eths,0.432808717,63
"[65,70)",All_other_eths,0.454482279,67
"[70,75)",All_other_eths,0.515174507,73
"[75,80)",All_other_eths,0.580618212,77
"[80,85)",All_other_eths,0.646978022,83
"[85,90)",All_other_eths,0.672413793,87
"[0,5)",All_other_eths,0.725,3
"[5,10)",All_other_eths,0.607142857,7
"[10,15)",All_other_eths,0.613430127,13
"[90,95)",All_other_eths,0.65,93
"[95,100)",All_other_eths,0.666666667,97
"[100,105)",All_other_eths,0.8,103
"[105,110)",All_other_eths,1,107
"[0,5)",White,0.775293648,3
"[5,10)",White,0.773028878,7
"[10,15)",White,0.770764109,13
"[15,20)",White,0.768499339,17
"[20,25)",White,0.766234569,23
"[25,30)",White,0.7639698,27
"[30,35)",White,0.76170503,33
"[35,40)",White,0.759440261,37
"[40,45)",White,0.757175491,43
"[45,50)",White,0.754910722,47
"[50,55)",White,0.752645952,53
"[55,60)",White,0.750381183,57
"[60,65)",White,0.748116413,63
"[65,70)",White,0.745851643,67
"[70,75)",White,0.743586874,73
"[75,80)",White,0.741322104,77
"[80,85)",White,0.739057335,83
"[85,90)",White,0.736792565,87
"[90,95)",White,0.734527796,93
"[95,100)",White,0.732263026,97
"[100,105)",White,0.729998257,103
"[0,5)",Black_African,0.710865696,3
"[5,10)",Black_African,0.688432099,7
"[10,15)",Black_African,0.665998502,13
"[15,20)",Black_African,0.643564905,17
"[20,25)",Black_African,0.621131309,23
"[25,30)",Black_African,0.598697712,27
"[30,35)",Black_African,0.576264115,33
"[35,40)",Black_African,0.553830518,37
"[40,45)",Black_African,0.531396921,43
"[45,50)",Black_African,0.508963324,47
"[50,55)",Black_African,0.486529727,53
"[55,60)",Black_African,0.464096131,57
"[60,65)",Black_African,0.441662534,63
"[65,70)",Black_African,0.419228937,67
"[70,75)",Black_African,0.39679534,73
"[75,80)",Black_African,0.374361743,77
"[80,85)",Black_African,0.351928146,83
"[85,90)",Black_African,0.329494549,87
"[100,105)",Black_African,0.262193759,103
