age.cat,cases,n,prop_ptb,se,change,mid_age
"[15,20)",1038,1717,0.604542807,0.011799894,1,16
"[20,25)",2523,4683,0.538757207,0.007284492,0.891181238,23
"[25,30)",3513,7800,0.450384615,0.005633443,0.835969541,27
"[30,35)",2889,7383,0.391304348,0.005679904,0.868822635,33
"[35,40)",2193,5753,0.381192421,0.006403284,0.974158409,37
"[40,45)",1594,4090,0.389731051,0.007625731,1.02239979,43
"[45,50)",1259,3224,0.390508685,0.008592145,1.001995309,47
"[50,55)",1036,2603,0.398002305,0.009594075,1.019189381,53
"[55,60)",836,2159,0.387216304,0.010483447,0.972899652,57
"[60,65)",715,1652,0.432808717,0.012190114,1.117744043,63
"[65,70)",654,1439,0.454482279,0.013126003,1.050076538,67
"[70,75)",679,1318,0.515174507,0.013766141,1.133541462,73
"[75,80)",695,1197,0.580618212,0.014262742,1.127032111,77
"[80,85)",471,728,0.646978022,0.017712503,1.114291644,83
"[85,90)",234,348,0.672413793,0.025158891,1.039314737,87
"[90,95)",52,80,0.65,0.053326823,0.966666667,93
"[95,100)",20,30,0.666666667,0.086066297,1.025641026,100
